name,neighborhood,categories,distance,lat,lng,id,Likes
Fallon's Pub,Dublin 6,Pub,2545,53.33909534,-6.273026433,4bfad283d0382d7fadd5c80a,43 Likes
Kennys Pub,Dublin 6,Irish Pub,3599,53.342431,-6.294404,5c093df781635b002cb35817,0
Arthur's Pub,Dublin 6,Pub,3188,53.34326,-6.281174,4d81270ddbc5f04dc25405b7,145 Likes
M B Slattery's,Dublin 6,Pub,646,53.3221005,-6.265862203,4bdb64c0c79cc928e08f82e9,15 Likes
O’Neills Victorian Pub and Townhouse,Dublin 6,Pub,3058,53.3448406,-6.252415551,53a89e60498ed84e53a5519d,28 Likes
Lord Edward Pub & Restaurant,Dublin 6,Pub,2930,53.3432555,-6.270109432,4ade0eeef964a5207a7021e3,23 Likes
Toners Pub,Dublin 6,Pub,2291,53.33783799,-6.25240971,4b05d950f964a52056e422e3,151 Likes
Comans of Rathgar,Dublin 6,Pub,1191,53.31204346,-6.274738748,4b806612f964a520b96e30e3,7 Likes
The Dubliner,Dublin 6,Pub,2304,53.33199013,-6.234460839,4b5a03caf964a520cda728e3,20 Likes
The Portobello,Dublin 6,Pub,1421,53.33016578,-6.26410944,4be46096cf200f47a1df113c,48 Likes
Pimlico Tavern,Dublin 6,Pub,2879,53.34017649,-6.280952237,50c3db7ee4b02d3a85eb8c68,3 Likes
Molloy's,Dublin 6,Pub,3300,53.29795978,-6.2965533,4cdaf5a14006a1432042d5b2,0
Devitt's,Dublin 6,Pub,2026,53.335558,-6.265456,4b08733bf964a520220c23e3,43 Likes
Scuttle's,Dublin 6,Pub,3163,53.34212252,-6.23521328,5696d523498e681c6b303c27,0
KCR House Pub,Dublin 6W,Pub,607,53.314314,-6.295911,4d861e0d02eb5481261951f5,0
Pilsworth & Ruddell Pub,Dublin 6W,Pub,3686,53.34226344,-6.294372082,559ce209498e127ad05474c8,0
Kennys Pub,Dublin 6W,Irish Pub,3705,53.342431,-6.294404,5c093df781635b002cb35817,0
Molloy's,Dublin 6W,Pub,1274,53.29795978,-6.2965533,4cdaf5a14006a1432042d5b2,0
The Cherry Tree,Dublin 6W,Pub,2392,53.31685506,-6.333105443,4d126b4a9844b60c994fbbd4,1 Like
Brady's,Dublin 6W,Pub,1026,53.30977143,-6.284018642,4b1186e5f964a520877e23e3,9 Likes
Maguires,Dublin 6W,Pub,2627,53.32172043,-6.265862956,4b3b7fc0f964a520af7425e3,0
Comans of Rathgar,Dublin 6W,Pub,1671,53.31204346,-6.274738748,4b806612f964a520b96e30e3,7 Likes
M B Slattery's,Dublin 6W,Pub,2649,53.3221005,-6.265862203,4bdb64c0c79cc928e08f82e9,15 Likes
Eden House,Dublin 6W,Pub,3500,53.28120108,-6.275758696,4c66bf9e9cedd13a3a8576a1,9 Likes
Pilsworth & Ruddell Pub,Dublin 8,Pub,1934,53.34226344,-6.294372082,559ce209498e127ad05474c8,0
Kennys Pub,Dublin 8,Irish Pub,1923,53.342431,-6.294404,5c093df781635b002cb35817,0
London Irish Pub,Dublin 8,Pub,2054,53.35771792,-6.291930516,4ee61a462da504839760f8b2,0
The Glimmer Man Pub,Dublin 8,Pub,2532,53.35077409,-6.282110815,4bbb41e63db7b7136718249a,5 Likes
Tommy O'Gara's Pub,Dublin 8,Irish Pub,2510,53.35099273,-6.282446767,4d24f61b2f77a09051a20af1,1 Like
Arthur's Pub,Dublin 8,Pub,2708,53.34326,-6.281174,4d81270ddbc5f04dc25405b7,145 Likes
Kavanaghs Pub,Dublin 8,Pub,3473,53.3362865,-6.273488495,50700073e4b075042566af60,3 Likes
Dean Swift Pub,Dublin 8,Pub,3238,53.34037531,-6.274387618,534948c5498e82e651744c15,2 Likes
john Doyles Pub,Dublin 8,Pub,3385,53.36092,-6.272492,56f81520498e9e5d0426f719,2 Likes
Hughes' Pub,Dublin 8,Pub,3193,53.34675733,-6.27251423,4c70486fd97fa143e4aaf5ca,11 Likes
Walsh's Pub,Dublin 8,Pub,2556,53.35049697,-6.281744829,4b88548af964a520b1ef31e3,23 Likes
Fallon's Pub,Dublin 8,Pub,3373,53.33909534,-6.273026433,4bfad283d0382d7fadd5c80a,43 Likes
Lord Edward Pub & Restaurant,Dublin 8,Pub,3419,53.3432555,-6.270109432,4ade0eeef964a5207a7021e3,23 Likes
Pimlico Tavern,Dublin 8,Pub,2840,53.34017649,-6.280952237,50c3db7ee4b02d3a85eb8c68,3 Likes
Kavanagh's,Dublin 8,Pub,2307,53.35338189,-6.285874844,4d9b6c7dffafdcb30df5acf4,6 Likes
Pifko Bar,Dublin 8,Pub,2694,53.345964,-6.28031,4b05afdcf964a520f8e022e3,41 Likes
The Brazen Head,Dublin 8,Irish Pub,2974,53.34498179,-6.276335056,4ade0eedf964a520747021e3,787 Likes
McGowan's,Dublin 8,Pub,3153,53.3566936,-6.273993227,4b83312df964a520bdfc30e3,47 Likes
The Cherry Tree,Dublin 10,Pub,3470,53.31685506,-6.333105443,4d126b4a9844b60c994fbbd4,1 Like
Silver Granite,Dublin 10,Pub,3481,53.35563852,-6.409044576,4b859183f964a520f86531e3,6 Likes
The Cherry Tree,Dublin 12,Pub,498,53.31685506,-6.333105443,4d126b4a9844b60c994fbbd4,1 Like
KCR House Pub,Dublin 12,Pub,2295,53.314314,-6.295911,4d861e0d02eb5481261951f5,0
Pilsworth & Ruddell Pub,Dublin 12,Pub,3331,53.34226344,-6.294372082,559ce209498e127ad05474c8,0
Kennys Pub,Dublin 12,Irish Pub,3343,53.342431,-6.294404,5c093df781635b002cb35817,0
Arthur Mayne's Pub,Dublin 14,Pub,2978,53.32162911,-6.235264783,53bd5df9498e7e4a349be3a3,21 Likes
Farmer Browns Pub,Dublin 14,Pub,2163,53.31414582,-6.238576508,574a0cc8cd10c9410ce17b1d,9 Likes
KCR House Pub,Dublin 14,Pub,3055,53.314314,-6.295911,4d861e0d02eb5481261951f5,0
Molloy's,Dublin 14,Pub,2552,53.29795978,-6.2965533,4cdaf5a14006a1432042d5b2,0
Maguires,Dublin 14,Pub,2618,53.32172043,-6.265862956,4b3b7fc0f964a520af7425e3,0
Comans of Rathgar,Dublin 14,Pub,1853,53.31204346,-6.274738748,4b806612f964a520b96e30e3,7 Likes
Eden House,Dublin 14,Pub,2266,53.28120108,-6.275758696,4c66bf9e9cedd13a3a8576a1,9 Likes
Brady's,Dublin 14,Pub,2117,53.30977143,-6.284018642,4b1186e5f964a520877e23e3,9 Likes
M B Slattery's,Dublin 14,Pub,2660,53.3221005,-6.265862203,4bdb64c0c79cc928e08f82e9,15 Likes
The Coach House,Dublin 14,Pub,2544,53.27643767,-6.249137691,4b37b4d3f964a520bd4425e3,5 Likes
The Portobello,Dublin 14,Pub,3530,53.33016578,-6.26410944,4be46096cf200f47a1df113c,48 Likes
The Barge,Dublin 14,Pub,3548,53.33049275,-6.260524953,4b044d87f964a5201b5322e3,176 Likes
The Bernard Shaw,Dublin 14,Pub,3702,53.33171212,-6.264264072,4ade0f0cf964a520f07021e3,450 Likes
Myo's Pub,Dublin 20,Pub,2378,53.37286862,-6.36224124,4b37c409f964a520c54525e3,20 Likes
Silver Granite,Dublin 20,Pub,2466,53.35563852,-6.409044576,4b859183f964a520f86531e3,6 Likes
Fedgroup Pub,"Morningside, GA",Pub,2258,-26.10018954,28.05510593,4e283490d164bfc24f1ff435,0
SAB COF Pub,"Morningside, GA",Pub,2784,-26.10303127,28.04912316,4e15d7e952b1b9e56443e1fc,5 Likes
